Employing Organization,Position Location - State,Job Title
Fraser,Minnesota,Behavioral Technician
Gateway Bank,Minnesota,Intern
Grant Thornton,Minnesota,Tax Associate
Great River Automation,Minnesota,Field Engineer
Great River Energy,Minnesota,Substation Engineer
Greenheck Group,Minnesota,Regional Sales Manager
GTN,Minnesota,Marketing Coordinator
Haf Equipment,Minnesota,Aftermarket Sales Representative
Heartland Advisors Inc.,Minnesota,Research Analyst
Hennepin County ,Minnesota,Child protection 
Hiawatha Valley Education District,Iowa,Special Education Teacher
Holmes Murphy,Colorado,Client Service Consultant
Honeywell,Minnesota,Project Engineer
Hospital Pathology Associates,Minnesota,Pathology Aide
Houlihan Lokey,Minnesota,Financial Analyst
Hunt Electric Corporation,Minnesota,Regional Vice President
IBM,,
Infinite Campus,Minnesota,Technical Services Developer
Innovize,Minnesota,Automation Engineer
Isthmus Engineering,Minnesota,Design engineer
Jamf,Minnesota,Services Operations Manager
Jenny Gezella,Minnesota,Operations Manager 
Johnson Brothers,Minnesota,Sales Consultant 
Bank of America,North Carolina,Relationship Banker
Kornferry,Minnesota,Associate Resource Manager
Kraus Anderson Construction,Minnesota,MEP Systems Manager
LB Carlson,Wisconsin,Staff Accountant
Life Time,Minnesota,Personal Trainer
Lighthouse Psychological Services,Minnesota,Mental Health Practitioner 
Live Nation Entertainment - Concerts Division,Tennessee ,Regional Marketing Coordinator - Southeast
Lockton,Minnesota,Associate Account Manager
Lockton,Minnesota,Associate Account Manager
Lockton,Minnesota,Associate account manager
Lockton ,,Associate Account Manager 
Longevity Holdings Inc.,Minnesota,Associate Corporate Counsel
Los Almamos National Laboratory,Minnesota,System Analyst
Matt Guttman,Minnesota,Legal Assistant
Maxfield Elementary ,Minnesota,Teacher 
Mayo Clinic,Minnesota,Social Worker
Medtronic,Minnesota,Financial analyst
Medtronic ,Minnesota,Senior Quality Engineer 
Michael Baker International,Wisconsin,Highway Designer
Michaud Cooley Erickson,Minnesota,Electrical Designer
Michaud Cooley Erickson,Minnesota,Electrical Designer/EIT 
Microsoft,Texas,Senior Product Engineer
Midwest Veterinary Supply,Minnesota,Full Stack Developer
Millboard ,,
Minneapolis Public Schools,Minnesota,5th Grade Teacher
Minnesota Department of Human Services,Minnesota,Clinical Program Therapist
Minnesota Lynx,Minnesota,Sales and Service Associate 
Minnesota Timberwolves ,Minnesota,Business Development Account Executive 
Minnesota Twins,Minnesota,HR Intern
Minnesota Vikings,Wisconsin,Ticket Sales & Services Associate
MM PRTNRS.,Minnesota,US Commercial Partnerships Representative
MN Twins,Minnesota,Special Events and Events Intern 
Morgan Stanley,Minnesota,Service Associate
MPS,Minnesota,Teacher
National Grid,Minnesota,Information Technology Intern
NEON by Battelle,california,Lead Field Technician
New Beginnigs Emotional wellness And Holistic Therapies ,Minnesota,Therapiest 
NorthRock Partners,Minnesota,"Associate, Operations"
Northwestern Mutual,Wisconsin,Actuarial Specialist
Northwestern Mutual ,Minnesota,Associate Financial Representative 
Nura PA Pain Clinic,Minnesota,Medical Scribe
nVent,Minnesota,Marketing Product Manager
Nystrom & Associates ,Minnesota,Outpatient Therapist 
Nystrom & Associates ,Minnesota,Therapist
Optum,Minnesota,Associate Software Engineer
Optum,Minnesota,Data Analyst
Ovative Group,Minnesota,Analyst 
Park Nicollet,Minnesota,Hospital Care Manager
Parker Hannifin,Wisconsin,Supply Chain Leadership Development Associate 
Paul Jonley,Wisconsin,Customer Care Manager
Pearson VUE,Minnesota,Software Development Intern
Peli Biothermal,Minnesota,Manufacturing Engineer
PepsiCo,Minnesota,Sales Management Associate
Personify Health,Minnesota,Client Delivery Specialist
Pioneer Management Consulting,Minnesota,Associate Consultant
PMA ,Minnesota,Institutional Investment Specialist
Polaris,Minnesota,Owner Connection Representative
Polaris,Minnesota,Powertrain Engineer
Polaris,Wisconsin,Sales DP
PwC,Minnesota,Associate business controls consultant 
Prince of Peace Lutheran Church,Minnesota,Manager
,Minnesota,au' pair
Proctor & Gamble,Iowa,Plant Process Engineer 
Promet Optics,Minnesota,Production Manager
Provenance Healthcare Staffing,Minnesota,Principal Product Manager
PwC,Minnesota,Audit Associate
Quantum STEAM Academy Public Charter School,Minnesota,Special Education Teacher
RAM benefits ,Minnesota,Employee benefits advisor 
Ramsey County,Minnesota,Environmental Health Outreach and Coordinator Intership
Revolution Screen Works ,Minnesota,Shipping and receiving manager
Reyes Coca Cola,Minnesota,Account Manager
River Valley Health Services ,Minnesota,Clinical assistant 
Roers Companies,Minnesota,Financial Analysis
Ron Clark Construction,Minnesota,Development Associate
RSM US LLP,Florida,Data & Digital Services Associate
Saint Mary's College,Indiana,MSW Assistant Professor 
Saint Paul Public Schools,Minnesota,"Special Education, Federal Setting III Emotional Behavioural Disorder"
Sanofi,Minnesota,Field Reimbursement Manager
,North Carolina,
Science Museum of Minnesota,Minnesota,"VP, Mission Advancement"
Seton Education Partners,,Educational Support in a publich charter school
Seton Teaching Foundation ,Wisconsin,Seton Teaching Fellow
Seurian Financial,Wisconsin,Actuarial Analyst
South Washinton County Schools,Minnesota,Early Childhood Special Education
SPS Commerce,Minnesota,Associate Community Account Executive
SPS Commerce,Minnesota,Associate customer support analyst
SPS Commerce,Minnesota,Associate Consultant
SRF Consulting,Minnesota,Design Engineer I
SRF Consulting,Minnesota,Civil Engineer
St. David's Center ,Minnesota,Mental Health Practioner
State Farm,Florida,Account Manager
State of Minnesota,Minnesota,Information Technology Specialist
Target,Minnesota,Senior Manager Global Business Integration
Teachers on Call,South Dakota,Substitute teacher
Tetra Tech,Minnesota,Environmental Scientist
Tetra Tech,Minnesota,Environmental Scientist
"The Beard Group, Inc",Minnesota,Associate Developer
The Bridge Autism Clinic,,Behavior Therapist
The Toro Company,Minnesota,Operations Buyer
The Walt Disney Company,Minnesota,
Thrivent,Minnesota,Actuarial Analyst
Totino-Grace High School ,Minnesota,Special Education Teacher 
Traction Capital,Minnesota,Private Equity Fellow
Trane Technologies,Minnesota,Building Controls Engineering Manager
Travelers,Minnesota,Actuarial Consultant
True Search,Minnesota,Executive Search Analyst
Twin Cities Orthopedics,,Physical Therapy Technician
Twin City Fans,Minnesota,Design Engineer
U.S. Bank,Minnesota,Data Scientist
U.S. Bank,Minnesota,Project manager 
Ultimus LeverPoint ,Minnesota,Fund Accountant
Unbakeable,Minnesota,Owner
United Health Group,Minnesota,Sales Rotational Agent
United Health Group,Wisconsin,Sales Agent
United Health Group,Minnesota,Business Analyst
United Health Group,Minnesota,Analyst Rotational Program
United Health Group,Minnesota,Actuarial Analyst
United Health Group,Minnesota,ULE Associate Director
United Health Group,Minnesota,Financial Analysts 
United Health Group,Minnesota,"Director, Operations"
University of St. Thomas,Minnesota,Clinical Professor
University of St. Thomas,Minnesota,Executive Assistant to the Rector and Vice President
University of St. Thomas,Minnesota,"Assistant Director of Development, Opus College of Business"
University of St. Thomas,Minnesota,Graduate Recruiter
,Minnesota,teacher
Upland Real Estate Group,Minnesota,Brokerage Analyst
Uponor,Minnesota,Learning and development specialist
U.S. Bank,Minnesota,Financial analyst 
USI,Minnesota,Employee benefits account representative
VOCxI,Minnesota,Computer Engineer
Voyageurs Conservancy,Minnesota,Fisheries & Aquatic Ecology Field Fellow
Wakely,Minnesota,Actuarial Analyst
Washburn,Minnesota,Intensive In Home Therapist
WBLSD,Minnesota,Special Education Teacher
Wealth Enhancement Group,Minnesota,Business Development Analyst 
Wei Labs ,,Account Manager 
Wells Fargo,Minnesota,Data Engineer
Wells Fargo,Minnesota,Commercial Banking Analyst
Wells Fargo ,Nebraska,Financial Analyst
Western Wisconsin Health,Wisconsin,Nurse
Westinghouse Electric Company ,Minnesota,Mechanical Engineer 
Westwood Professional Services,Minnesota,Staff Engineer
Westwood Professional Services,Minnesota,Construction Stormwater Specialist
Winmark the Resale Company ,Minnesota,Senior Operations Manager
Deloitte,North Carolina,Analyst in Risk and Financial Advisory
Workday,Minnesota,Solutions Consultant
Wundercover Group of Lumeway,Minnesota,Office Assistant 
Xcel Energy,Minnesota,Senior DER Integration Engineer
Xcel Energy,Minnesota,Project Coordinator/Distribution Designer
Yum! Kitchen and Bakery,Minnesota,General Manager
Zopec Medical,Minnesota,Product Engineer
Optum,North Carolina,Director
,,
Aspire Counseling & Wellness,North Carolina,Marriage and Family Therapist
,Minnesota,
,Minnesota,
,Minnesota,
,,
,Minnesota,
,Wisconsin,
Trane Technologies,North Carolina,Marketing Specialist
,Minnesota,
,,
,Wisconsin,
,Minnesota,
,Wisconsin,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,,
,Minnesota,
,,
,,
,,
,,
,,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,,
,Minnesota,
,Minnesota,
,Texas,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,,
,,
,Minnesota,
,,
,,
,Minnesota,
,,
,,
,,
,,
,,
,Florida ,
,Minnesota,Compliance Manager
,Minnesota,
,Minnesota,
,Wisconsin,
,Wisconsin,
,Minnesota,
,South Dakota,
,Minnesota,
,,
,Minnesota,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,,
,Minnesota,
,,
,Texas,
,,
UnitedHealth Group,North Carolina,Operations Risk Manager
,Minnesota,
,Minnesota,
,Wisconsin,
Wells Fargo,North Carolina,Middle Manager
,Minnesota,
,,
,Minnesota,
,,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Wisconsin,
,Minnesota,
,,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,South Dakota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
Wells Fargo,North Carolina,Analytics Consultant
,Wisconsin,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
Wells Fargo,North Carolina,Business Systems Consultant
,Minnesota,
,Minnesota,
,,
,,
,,
,Minnesota,
,,
,,
,Minnesota,
,Minnesota,
,Minnesota,
,,
,Minnesota,
,,
,,
,Minnesota,
,,
,Minnesota,
,Minnesota,
,,
,Minnesota,
,Minnesota,
,,
,,
,,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Wisconsin,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Wisconsin,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,,
,,
,Minnesota,
,Minnesota,
,,
,,
,,
,,
,,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,Minnesota,
,,
,Colorado,
