Program Name/Major,Academic Division/School,Degree Level,Graduation Date,Job Title,Employing Organization,Position Location - State
Electrical Engineering,School of Engineering,Bachelor's,5/15/2020,Operations Director,McKinsey,ND
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2020,Scientist,AmeriCorps,WA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Systems Administrator,Allina Health,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Underwriter,Ameriprise Financial,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Instructor,Xcel Energy,MA
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2024,Financial Analyst,3M,TX
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,Site Supervisor,Kraus-Anderson,NY
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Administrative Assistant,Mortenson,WI
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Field Engineer,Grant Thornton,MN
Accounting,Opus College of Business,Bachelor's,5/15/2025,UX Designer,PwC,MN
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2023,Instructor,Minneapolis Public Schools,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Project Manager,Securian Financial,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2025,Sales Representative,PwC,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Assistant,Grant Thornton,CO
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2025,Clinical Research Coordinator,State of Minnesota,WA
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Business Analyst,3M,CA
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2022,Clinical Research Associate,EY,TX
Biology,College of Arts and Sciences,Bachelor's,5/15/2024,Brand Manager,Deloitte,IA
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2021,Procurement Specialist,Allina Health,NY
Biology,College of Arts and Sciences,Bachelor's,5/15/2021,Case Manager,Kraus-Anderson,WI
Elementary Education (K-6),School of Education,Bachelor's,5/15/2022,Program Manager,State of Minnesota,TX
Journalism,College of Arts and Sciences,Bachelor's,5/15/2020,Financial Analyst,NextEra Energy,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Sales Representative,US Bank,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Civil Engineer,Optum,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Web Developer,Hennepin County,ND
Psychology,College of Arts and Sciences,Bachelor's,5/15/2023,Medical Assistant,Kraus-Anderson,WI
Data Science,School of Engineering,Bachelor's,5/15/2024,Grant Writer,EY,OH
Accounting,Opus College of Business,Bachelor's,5/15/2025,Analytics Consultant,Best Buy,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Business Analyst,US Bank,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Account Manager,IBM,WA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Brand Manager,Deloitte,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Recruiter,Kraus-Anderson,ND
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Operations Manager,Boston Consulting Group,GA
COJO Strategic Communications,College of Arts and Sciences,Bachelor's,5/15/2025,Social Media Manager,Fastenal,ND
Computer Science,School of Engineering,Bachelor's,5/15/2020,Lab Technician,Target (Tech),IA
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2021,Business Development Associate,Grant Thornton,IA
Computer Science,School of Engineering,Bachelor's,5/15/2025,Case Manager,Grant Thornton,FL
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2019,Grant Writer,Osseo Area Schools,MN
Accounting,Opus College of Business,Bachelor's,5/15/2023,Physical Therapist,Mortenson,MA
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Teaching Assistant,CBRE Group,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2021,Compliance Analyst,Land O'Lakes,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Supply Chain Coordinator,Target,NY
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2019,Government Affairs Specialist,Wells Fargo,WA
English,College of Arts and Sciences,Bachelor's,5/15/2025,Legal Assistant,St. Paul Public Schools,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Civil Engineer,RBC Wealth Management,MN
Social Work,School of Education,Bachelor's,5/15/2024,Registered Nurse,University of St. Thomas,FL
Strategic Comm: Ad and PR,College of Arts and Sciences,Bachelor's,5/15/2020,Project Manager,Medtronic,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Web Developer,Grant Thornton,GA
Economics - Business,Opus College of Business,Bachelor's,5/15/2020,Operations Director,EY,NE
Data Analytics,School of Engineering,Bachelor's,5/15/2025,Program Manager,CBRE Group,FL
Journalism,College of Arts and Sciences,Bachelor's,5/15/2019,Marketing Coordinator,KPMG,MN
Data Science,School of Engineering,Bachelor's,5/15/2019,Data Analyst,3M,SD
Psychology,College of Arts and Sciences,Bachelor's,5/15/2022,Business Intelligence Analyst,Ryan Companies,OH
Theology,College of Arts and Sciences,Bachelor's,5/15/2024,Estimator,US Army,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Scientist,Allianz,OH
Biology,College of Arts and Sciences,Bachelor's,5/15/2025,Clinical Research Associate,McKinsey,NE
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Associate,Target (Tech),WA
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Community Outreach Specialist,Deloitte,IL
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Teacher,Grant Thornton,OH
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Administrative Assistant,Mortenson,NY
Accounting,Opus College of Business,Bachelor's,5/15/2019,Inside Sales Rep,Cargill,GA
Political Science,College of Arts and Sciences,Bachelor's,5/15/2020,Program Coordinator,CBRE Group,TX
Biology,College of Arts and Sciences,Bachelor's,5/15/2023,Underwriter,NextEra Energy,MN
Economics,College of Arts and Sciences,Bachelor's,5/15/2021,Tutor,Mortenson,WA
Civil Engineering,School of Engineering,Bachelor's,5/15/2020,Project Engineer,CenterPoint Energy,IL
Communication Studies,College of Arts and Sciences,Bachelor's,5/15/2025,Legal Coordinator,Cargill,CA
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2020,Scientist,3M,CA
Computer Science,School of Engineering,Bachelor's,5/15/2023,Electrical Engineer,Microsoft,MN
Electrical Engineering,School of Engineering,Bachelor's,5/15/2022,Project Engineer,Target (Tech),ND
Accounting,Opus College of Business,Bachelor's,5/15/2023,Receptionist,UnitedHealth Group,MN
Chemistry,College of Arts and Sciences,Bachelor's,5/15/2020,Medical Assistant,US Army,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2019,Legal Coordinator,Optum,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,HR Generalist,Securian Financial,NE
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Clinical Research Coordinator,Accenture,GA
Data Analytics,School of Engineering,Bachelor's,5/15/2020,Software Engineer,Honeywell,MN
Civil Engineering,School of Engineering,Bachelor's,5/15/2024,Electrical Engineer,Xcel Energy,MN
Computer Science,School of Engineering,Bachelor's,5/15/2019,IT Analyst,AWS,NE
Criminal Justice,College of Arts and Sciences,Bachelor's,5/15/2021,Policy Analyst,Optum,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2019,Marketing Coordinator,Deloitte,CO
Computer Science,School of Engineering,Bachelor's,5/15/2022,Data Scientist,CenterPoint Energy,OH
Software Engineering,School of Engineering,Bachelor's,5/15/2022,HR Coordinator,IBM,NY
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Accountant,US Army,FL
Data Science,School of Engineering,Bachelor's,5/15/2019,IT Analyst,Wayzata Public Schools,WA
Accounting,Opus College of Business,Bachelor's,5/15/2022,Community Outreach Specialist,UnitedHealth Group,WA
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Legal Assistant,Sleep Number,NY
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2021,Team Lead,Cargill,OH
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Brand Manager,Land O'Lakes,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Project Manager,PwC,GA
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Business Development Associate,CenterPoint Energy,FL
Biology,College of Arts and Sciences,Bachelor's,5/15/2025,Assistant,Abbott Northwestern Hospital,SD
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2023,Education Coordinator,RBC Wealth Management,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2024,Web Developer,Mortenson,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Supply Chain Coordinator,NextEra Energy,MN
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2020,Registered Nurse,Optum,CA
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Account Executive,PwC,NE
Biology,College of Arts and Sciences,Bachelor's,5/15/2019,Paralegal,Optum,TX
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2025,Underwriter,US Bank,WA
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2023,Community Outreach Specialist,AmeriCorps,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2024,Policy Analyst,CBRE Group,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Real Estate Analyst,PwC,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Business Analyst,Deloitte,MA
Electrical Engineering,School of Engineering,Bachelor's,5/15/2021,Research Assistant,Polaris,MN
Economics - Business,Opus College of Business,Bachelor's,5/15/2023,Coordinator,Peace Corps,ND
Economics,College of Arts and Sciences,Bachelor's,5/15/2023,Operations Manager,Abbott Laboratories,MN
Data Analytics,School of Engineering,Bachelor's,5/15/2025,DevOps Engineer,Microsoft,SD
Data Science,School of Engineering,Bachelor's,5/15/2024,Supply Chain Coordinator,KPMG,SD
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Electrical Engineer,Mortenson,IL
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2023,Policy Analyst,Accenture,SD
Accounting,Opus College of Business,Bachelor's,5/15/2021,Talent Acquisition Specialist,Target,OH
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2021,Logistics Manager,Mortenson,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Compliance Analyst,EY,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Software Engineer,Allina Health,TX
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2019,Research Scientist,Abbott Laboratories,OH
Data Analytics,School of Engineering,Bachelor's,5/15/2019,Business Intelligence Analyst,UnitedHealth Group,ND
Economics - Business,Opus College of Business,Bachelor's,5/15/2019,Marketing Coordinator,Medtronic,IL
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Appraiser,US Bank,MA
Accounting,Opus College of Business,Bachelor's,5/15/2024,Project Manager,Mayo Clinic,WI
Human Resources Management,Opus College of Business,Bachelor's,5/15/2023,Talent Acquisition Specialist,General Mills,WA
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2020,Receptionist,NextEra Energy,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Specialist,Kraus-Anderson,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2019,Advisory Associate,PwC,WI
Accounting,Opus College of Business,Bachelor's,5/15/2022,Logistics Manager,CBRE Group,NE
Biology,College of Arts and Sciences,Bachelor's,5/15/2019,Research Scientist,Accenture,GA
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Business Development Associate,Land O'Lakes,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Program Manager,Deloitte,MN
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2025,Government Affairs Specialist,Children's Minnesota,MN
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2021,Estimator,Children's Minnesota,GA
Social Work,School of Education,Bachelor's,5/15/2023,Compliance Analyst,City of Minneapolis,GA
Public Health,College of Arts and Sciences,Bachelor's,5/15/2025,Real Estate Associate,Fairview,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Lab Technician,St. Paul Public Schools,GA
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2021,Case Manager,Mortenson,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Grant Writer,Deloitte,WA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2024,Government Affairs Specialist,Osseo Area Schools,ND
Social Work,School of Education,Bachelor's,5/15/2020,Auditor,State of Minnesota,NE
Psychology,College of Arts and Sciences,Bachelor's,5/15/2019,Office Coordinator,Ameriprise Financial,IA
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2021,Sales Representative,Mortenson,OH
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Financial Analyst,Kraus-Anderson,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2024,Web Developer,University of St. Thomas,SD
Political Science,College of Arts and Sciences,Bachelor's,5/15/2025,Instructor,Ryan Companies,OH
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Web Developer,Ryan Companies,MA
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Team Lead,IBM,MN
Civil Engineering,School of Engineering,Bachelor's,5/15/2025,Project Engineer,CBRE Group,MN
Software Engineering,School of Engineering,Bachelor's,5/15/2020,Software Engineer,General Mills,OH
History,College of Arts and Sciences,Bachelor's,5/15/2020,Assistant,State of Minnesota,TX
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2021,Financial Analyst,Xcel Energy,NY
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Consultant,Abbott Laboratories,MN
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2019,Executive Assistant,Ameriprise Financial,WI
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2022,Tutor,Mortenson,NY
Psychology,College of Arts and Sciences,Bachelor's,5/15/2025,Policy Analyst,State of Minnesota,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,Business Intelligence Analyst,Grant Thornton,WI
Elementary Education (K-6),School of Education,Bachelor's,5/15/2025,Teaching Assistant,Minneapolis Public Schools,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2024,Education Coordinator,Grant Thornton,FL
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Financial Analyst,Fastenal,WI
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Construction Manager,US Bank,GA
Social Work,School of Education,Bachelor's,5/15/2024,Associate,University of St. Thomas,IA
Economics - Business,Opus College of Business,Bachelor's,5/15/2022,Policy Analyst,Fastenal,MA
Biology,College of Arts and Sciences,Bachelor's,5/15/2019,Sales Representative,St. Paul Public Schools,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Data Scientist,CenterPoint Energy,MN
Electrical Engineering,School of Engineering,Bachelor's,5/15/2023,Creative Director,Google,MN
Chemistry,College of Arts and Sciences,Bachelor's,5/15/2024,Data Analyst,Grant Thornton,MN
Computer Science,School of Engineering,Bachelor's,5/15/2021,Operations Director,CenterPoint Energy,NY
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Account Manager,Microsoft,NY
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Case Manager,McKinsey,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2024,Scientist,St. Paul Public Schools,GA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,Registered Nurse,Great River Energy,IA
Social Work,School of Education,Bachelor's,5/15/2022,Associate,Mortenson,NY
Elementary Education (K-6),School of Education,Bachelor's,5/15/2024,Health Coach,University of St. Thomas,TX
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Logistics Manager,3M,ND
